1940,12880182
1941,13222769
1942,13615204
1943,14060002
1944,14558808
1945,15114867
1946,15726788
1947,16397662
1948,17129133
1949,17925109
1950,18782891
1951,19706270
1952,20697178
1953,21760605
1954,22892733
1955,24098358
1956,25379468
1957,26741883
1958,28180149
1959,29699870
1960,31303034
1961,32996087
1962,34770342
1963,36630587
1964,38577101
1965,40615854
1966,42735983
1967,44943220
1968,47237844
1969,49626782
1970,52097260
1971,55064526
1972,57994584
1973,60898046
1974,63761775
1975,66596474
1976,69404868
1977,72197280
1978,74961181
1979,77706956
1980,80437327
1981,83163005
1982,85874587
1983,88585562
1984,91301958
1985,94037296
1986,96782672
1987,99551568
1988,102350012
1989,105191851
1990,108067596
1991,110990990
1992,113964626
1993,116985669
1994,120023012
1995,123070299
1996,126112968
1997,129144696
1998,132134323
1999,135075598
2000,137953959
2001,140763243
2002,143477709
2003,146095618
2004,148607441
2005,151010051
2006,153280768
2007,155416793
2008,157408600
2009,159251476
2010,160925804
